Cidade,Ano,Fonte Energia,Indústria Predominante,Clima,Consumo MWh,Custo Unitário USD,Emissoes CO2 Ton,Perc Energia Renovavel,Residencias Atendidas,Investimento Infra Bilhoes,Emissão CO2,População Cidade
Moscou,2016,Eólica,Tecnologia,Desértico,33073,9,323361,"0,7484",518714,2834,6408066,12997617
Nova York,2016,Carvão,Tecnologia,Mediterrâneo,25988,1,150956,"0,4991",531984,442,5638647,1182282
Los Angeles,2016,Hidrelétrica,Turismo,Frio,5104,23,40463,"0,3405",334762,3766,124103,15842153
São Paulo,2022,Solar,Turismo,Frio,13629,17,491805,"0,7611",250289,330,47240,16128669
Rio de Janeiro,2016,Gás Natural,Mineração,Mediterrâneo,37389,1,115563,"0,4511",661258,376,3850202,11543271
Berlim,2022,Eólica,Tecnologia,Mediterrâneo,40392,16,432010,"0,7112",882250,4896,3493549,5198548
Munique,2018,Gás Natural,Tecnologia,Mediterrâneo,49801,15,492872,"0,2799",610795,626,5507659,16618383
Mumbai,2018,Nuclear,Tecnologia,Temperado,11271,17,445078,"0,5411",834978,2818,1101826,7919201
Nova Délhi,2023,Nuclear,Turismo,Mediterrâneo,41032,7,193303,"0,2066",81707,4621,5912067,15578749
Pequim,2019,Eólica,Financeiro,Frio,30304,13,417839,"0,3518",916257,1907,879833,11033492
Xangai,2021,Eólica,Turismo,Mediterrâneo,9474,23,356695,"0,1544",723370,3883,1743924,8888428
Tóquio,2022,Carvão,Mineração,Tropical,28169,18,120897,"0,4682",752251,34,2893647,7705634
Osaka,2018,Nuclear,Financeiro,Mediterrâneo,8949,9,405524,"0,6258",566568,4188,1340816,7063446
Londres,2020,Eólica,Financeiro,Temperado,24581,8,1208,"0,0248",750464,2841,2697656,19954152
Paris,2023,Solar,Tecnologia,Mediterrâneo,5478,23,113162,"0,0782",600447,2188,73941,15093343
Toronto,2021,Eólica,Agronegócio,Tropical,27081,21,131079,"0,7702",952220,2721,1536316,5975038
Vancouver,2015,Gás Natural,Mineração,Mediterrâneo,32488,19,498612,"0,7127",761601,3753,2760746,8590647
Sydney,2018,Gás Natural,Agronegócio,Mediterrâneo,31861,11,133739,"0,6028",49194,335,4370583,15499620
Melbourne,2023,Solar,Mineração,Temperado,23899,11,471321,"0,1246",391232,3783,153908,8216507
Cidade do México,2023,Solar,Agronegócio,Mediterrâneo,47515,14,344150,"0,5733",264036,3432,11865898,6171792
Moscou,2019,Eólica,Tecnologia,Mediterrâneo,14251,2,289051,"0,8156",320717,1549,2155751,10565216
Nova York,2019,Gás Natural,Financeiro,Tropical,19748,8,327941,"0,2957",133237,2349,3999985,808506
Los Angeles,2021,Solar,Turismo,Temperado,12309,9,452641,"0,0444",811841,1277,2660135,12363412
São Paulo,2019,Carvão,Financeiro,Tropical,44747,2,220560,"0,3235",922613,432,7396098,12713148
Rio de Janeiro,2015,Nuclear,Mineração,Temperado,15320,8,386413,"0,0504",714988,3068,3743134,14588827
Berlim,2020,Nuclear,Manufatura,Desértico,26783,14,380014,"0,0314",989157,3405,5730537,8231359
Munique,2021,Eólica,Financeiro,Tropical,9919,22,456414,"0,7716",972784,386,403555,3661389
Mumbai,2023,Solar,Turismo,Tropical,36510,18,341355,"0,7611",32256,1254,2796996,3687537
Nova Délhi,2023,Hidrelétrica,Turismo,Mediterrâneo,32312,18,142395,"0,7481",75023,4922,4493868,17899409
Pequim,2017,Nuclear,Agronegócio,Tropical,21291,17,70455,"0,3523",789116,2814,5115662,8481788
Xangai,2016,Eólica,Financeiro,Temperado,3996,11,185014,"0,3123",277649,4611,906763,11970776
Tóquio,2021,Carvão,Financeiro,Tropical,12995,2,280257,"0,4238",605540,3432,1413584,17367933
Osaka,2015,Solar,Tecnologia,Tropical,38212,14,66375,"0,7292",36390,2592,2835558,3305518
Londres,2019,Eólica,Tecnologia,Frio,2545,16,64493,"0,6629",221231,2564,535462,14733269
Paris,2020,Gás Natural,Agronegócio,Desértico,7547,11,391618,"0,4622",715867,102,422565,1018636
Toronto,2015,Hidrelétrica,Manufatura,Mediterrâneo,40699,23,426162,"0,6717",232560,826,4661327,1051788
Vancouver,2023,Nuclear,Tecnologia,Temperado,45019,7,271399,"0,8241",817481,3552,3117985,16183867
Sydney,2018,Gás Natural,Mineração,Mediterrâneo,7412,23,280091,"0,6806",384357,2491,1467968,5279293
Melbourne,2022,Hidrelétrica,Manufatura,Frio,22143,23,435112,"0,4589",291187,4309,586353,2977732
Cidade do México,2018,Carvão,Tecnologia,Frio,20350,12,184781,"0,0722",371799,1584,1719002,9660420
Moscou,2019,Solar,Agronegócio,Tropical,6176,24,357577,"0,6008",20529,3416,858967,10523664
Nova York,2017,Hidrelétrica,Mineração,Mediterrâneo,10037,22,195865,"0,0344",778974,2868,1382634,8512926
Los Angeles,2017,Hidrelétrica,Mineração,Mediterrâneo,30174,21,225852,"0,8507",191863,1136,3125583,9463831
São Paulo,2021,Gás Natural,Manufatura,Temperado,21721,15,444311,"0,7761",345283,427,2692101,8126620
Rio de Janeiro,2020,Hidrelétrica,Financeiro,Mediterrâneo,8792,15,20051,"0,3754",987486,339,1052811,2504681
Berlim,2017,Eólica,Tecnologia,Desértico,25799,13,36167,"0,2152",993386,428,2580645,3335870
Munique,2019,Carvão,Tecnologia,Frio,19602,7,264525,"0,8607",752058,4959,3465855,7242920
Mumbai,2019,Eólica,Turismo,Temperado,24170,6,164537,"0,1273",43167,3178,584927,16139466
Nova Délhi,2018,Carvão,Manufatura,Tropical,46179,9,437546,"0,1648",475695,2799,2671318,2316885
Pequim,2016,Eólica,Tecnologia,Tropical,7269,14,401742,"0,6437",340742,1183,1655258,18306945
Xangai,2016,Hidrelétrica,Manufatura,Desértico,49418,24,224162,"0,5836",878378,48,1050585,11562747
Tóquio,2019,Eólica,Manufatura,Temperado,47553,23,222569,"0,3906",801567,272,6939903,17623225
Osaka,2016,Nuclear,Mineração,Tropical,24085,11,494720,"0,7473",982917,527,2412787,6096097
Londres,2023,Hidrelétrica,Agronegócio,Frio,43154,22,311305,"0,5235",973171,3022,9952607,17766257
Paris,2015,Nuclear,Financeiro,Frio,45329,11,13906,"0,0408",173926,1132,7050973,2375030
Toronto,2021,Solar,Manufatura,Mediterrâneo,13497,16,428565,"0,1728",583816,3084,2172222,19310658
Vancouver,2021,Eólica,Manufatura,Frio,9854,17,372072,"0,5581",496936,3351,1221886,6009965
Sydney,2023,Hidrelétrica,Financeiro,Desértico,36510,17,114948,"0,4964",124893,912,2868098,17938229
Melbourne,2021,Gás Natural,Manufatura,Desértico,34172,9,444165,"0,6356",429767,4669,7948518,3734516
Cidade do México,2017,Carvão,Turismo,Tropical,3736,22,438130,"0,5577",66714,1825,914832,17805698
Moscou,2020,Carvão,Agronegócio,Mediterrâneo,19141,7,15739,"0,0682",986593,369,4448364,5922033
Nova York,2021,Solar,Mineração,Frio,8080,2,324122,"0,8087",656193,129,751368,15741954
Los Angeles,2018,Carvão,Mineração,Tropical,18851,12,56448,"0,5655",728783,4028,453962,8346642
São Paulo,2017,Carvão,Manufatura,Desértico,2071,12,111594,"0,1835",146440,33,487112,6718415
Rio de Janeiro,2016,Carvão,Financeiro,Mediterrâneo,10268,12,399289,"0,7978",107466,3971,1375549,8126239
Berlim,2019,Hidrelétrica,Mineração,Temperado,36479,1,252790,"0,4245",11773,3961,5760825,15761772
Munique,2018,Gás Natural,Manufatura,Desértico,37565,8,396078,"0,039",55831,234,7696634,18115061
Mumbai,2018,Hidrelétrica,Mineração,Temperado,41447,14,189288,"0,2163",178706,1104,10091823,18323745
Nova Délhi,2021,Gás Natural,Manufatura,Mediterrâneo,4983,24,407833,"0,1431",241339,4382,1085935,12559318
Pequim,2021,Solar,Tecnologia,Frio,28474,18,368758,"0,3666",689222,115,2371313,9681217
Xangai,2021,Carvão,Manufatura,Desértico,12258,13,13399,"0,8106",427078,345,1631673,2162361
Tóquio,2021,Nuclear,Tecnologia,Temperado,49299,15,136309,"0,3444",220316,3299,11734123,10763596
Osaka,2018,Solar,Agronegócio,Desértico,19383,24,469044,"0,2592",370501,1312,2376315,6977807
Londres,2018,Solar,Tecnologia,Temperado,44512,18,334762,"0,2494",590032,2357,10385889,11307371
Paris,2020,Carvão,Agronegócio,Frio,13446,18,241137,"0,1895",540320,4159,531407,14109722
Toronto,2019,Nuclear,Manufatura,Desértico,48439,9,327540,"0,6797",242751,2411,2857667,16964294
Vancouver,2015,Eólica,Financeiro,Desértico,7970,23,251069,"0,0569",473051,3042,171638,18380806
Sydney,2019,Nuclear,Agronegócio,Temperado,16447,17,173615,"0,8171",524557,3319,2309226,7748853
Melbourne,2020,Hidrelétrica,Manufatura,Mediterrâneo,9725,25,319104,"0,0719",753690,241,1308602,13461719
Cidade do México,2022,Nuclear,Agronegócio,Tropical,4858,8,387613,"0,3648",696082,68,540174,14135214
Moscou,2022,Nuclear,Agronegócio,Temperado,13524,14,97823,"0,4789",734611,4252,1661725,8623148
Nova York,2021,Eólica,Manufatura,Frio,3582,5,453150,"0,3213",779095,2803,322848,18770343
Los Angeles,2020,Solar,Manufatura,Mediterrâneo,42202,24,124853,"0,0673",756990,476,2441047,10188142
São Paulo,2015,Eólica,Tecnologia,Frio,10928,14,84583,"0,1187",562832,283,1425725,15750597
Rio de Janeiro,2018,Carvão,Agronegócio,Desértico,20562,23,78835,"0,8622",942286,1673,1537638,14712510
Berlim,2021,Nuclear,Tecnologia,Tropical,16920,12,18615,"0,1082",810035,1577,2103074,13531060
Munique,2018,Nuclear,Turismo,Frio,34180,11,312015,"0,2668",379270,1236,524066,5111237
Mumbai,2017,Carvão,Financeiro,Frio,38983,7,245575,"0,6262",168686,717,7072131,3592623
Nova Délhi,2018,Solar,Turismo,Frio,47704,16,477228,"0,0325",300078,2716,6135363,12641642
Pequim,2020,Eólica,Financeiro,Temperado,31011,18,155015,"0,6988",476948,491,3773364,4320442
Xangai,2017,Nuclear,Mineração,Mediterrâneo,29893,16,478288,"0,4443",239486,344,5328564,19512391
Tóquio,2020,Carvão,Mineração,Mediterrâneo,5929,22,382472,"0,4605",53544,2755,23289,2151605
Osaka,2021,Solar,Mineração,Temperado,5863,5,470447,"0,0313",514758,3745,80565,16451817
Londres,2015,Gás Natural,Agronegócio,Mediterrâneo,32973,13,420834,"0,8555",249772,1676,3385572,19360730
Paris,2023,Hidrelétrica,Financeiro,Desértico,27973,23,100174,"0,7584",486595,2491,2243561,15252995
Toronto,2016,Carvão,Manufatura,Tropical,48292,15,463002,"0,6916",179522,2584,8047544,9909482
Vancouver,2020,Gás Natural,Mineração,Tropical,23945,24,202426,"0,2878",686209,3983,102205,3799740
Sydney,2020,Gás Natural,Manufatura,Mediterrâneo,5595,19,87690,"0,3535",508699,815,1263974,843446
Melbourne,2022,Gás Natural,Manufatura,Frio,36841,17,278322,"0,7565",90666,43,3995437,2441535
Cidade do México,2022,Nuclear,Financeiro,Frio,29337,15,99527,"0,2495",884760,2401,3931514,10530349
Moscou,2022,Nuclear,Turismo,Mediterrâneo,44846,2,32128,"0,2087",202027,1724,10890346,1688562
Nova York,2021,Nuclear,Manufatura,Frio,5164,8,109065,"0,5858",281358,3266,460446,1936666
Los Angeles,2019,Nuclear,Tecnologia,Tropical,41595,22,190982,"0,3255",700498,506,1110015,11331828
São Paulo,2015,Carvão,Agronegócio,Tropical,42498,16,438464,"0,2903",636604,2169,9699337,2467143
Rio de Janeiro,2017,Gás Natural,Tecnologia,Frio,47057,22,197814,"0,3883",138135,2768,10650785,3393805
Berlim,2017,Eólica,Manufatura,Mediterrâneo,41267,18,450949,"0,6898",184302,3651,491353,5382008
Munique,2017,Eólica,Financeiro,Desértico,24408,24,394193,"0,7951",523747,276,3788574,4362776
Mumbai,2023,Nuclear,Turismo,Temperado,8676,12,426280,"0,5009",550224,1294,1457168,11393066
Nova Délhi,2021,Gás Natural,Financeiro,Frio,36558,14,110502,"0,8556",20381,2036,8832537,17011812
Pequim,2017,Eólica,Agronegócio,Mediterrâneo,44551,19,65436,"0,8378",947813,365,6551777,7896867
Xangai,2022,Solar,Agronegócio,Tropical,47990,13,94035,"0,7085",188375,4154,2162565,860778
Tóquio,2016,Nuclear,Mineração,Tropical,29202,17,56130,"0,0383",214075,3662,5303178,7756846
Osaka,2021,Hidrelétrica,Financeiro,Frio,46284,18,229494,"0,5155",712160,3601,9024331,11929575
Londres,2019,Solar,Tecnologia,Mediterrâneo,9056,7,54570,"0,4978",752708,1778,985764,8038236
Paris,2022,Solar,Manufatura,Desértico,33459,6,15112,"0,3753",111150,385,682596,4704914
Toronto,2018,Gás Natural,Manufatura,Tropical,21182,21,298317,"0,1744",711680,80,3196679,1908675
Vancouver,2022,Hidrelétrica,Financeiro,Tropical,28507,15,210124,"0,6799",177312,3621,4507649,12774245
Sydney,2021,Hidrelétrica,Tecnologia,Mediterrâneo,4645,14,94751,"0,1388",815194,2187,405606,6406339
Melbourne,2017,Nuclear,Mineração,Mediterrâneo,44841,16,219158,"0,6996",626400,2142,9948253,2918279
Cidade do México,2021,Eólica,Mineração,Frio,48412,13,486466,"0,6863",243982,238,10114488,2018294
Moscou,2018,Hidrelétrica,Manufatura,Desértico,3371,6,157811,"0,4638",301036,2202,170369,4655447
Nova York,2022,Nuclear,Agronegócio,Temperado,37204,12,262712,"0,6532",427861,105,6632839,17076694
Los Angeles,2016,Solar,Financeiro,Mediterrâneo,41339,9,436181,"0,2587",53849,623,6648578,17902935
São Paulo,2020,Nuclear,Financeiro,Frio,46784,23,10415,"0,6243",121950,2141,5812599,6475700
Rio de Janeiro,2015,Hidrelétrica,Financeiro,Frio,37017,17,117037,"0,7018",233988,397,1531043,7498937
Berlim,2021,Hidrelétrica,Tecnologia,Desértico,36397,15,20353,"0,1653",345046,2277,1992108,14004481
Munique,2016,Solar,Tecnologia,Tropical,45297,7,239031,"0,1302",391103,4304,1091274,2685086
Mumbai,2015,Gás Natural,Tecnologia,Desértico,4249,7,393112,"0,4075",816348,4584,625844,602387
Nova Délhi,2022,Solar,Mineração,Tropical,5723,21,453869,"0,7117",175313,2957,602677,13788409
Pequim,2023,Solar,Manufatura,Mediterrâneo,18008,12,21994,"0,0395",415400,3147,995557,14790774
Xangai,2021,Gás Natural,Manufatura,Desértico,42324,24,293221,"0,8334",246153,316,714817,19802282
Tóquio,2015,Nuclear,Manufatura,Tropical,49779,19,153126,"0,6688",463796,4216,5910827,19560673
Osaka,2023,Gás Natural,Manufatura,Tropical,19147,15,298073,"0,1376",592104,4003,177255,1694472
Londres,2015,Nuclear,Agronegócio,Mediterrâneo,16531,9,381446,"0,5866",184137,2291,1712177,808444
Paris,2019,Solar,Mineração,Mediterrâneo,6311,25,118280,"0,2249",533795,734,121937,1421278
Toronto,2016,Eólica,Manufatura,Tropical,47588,21,14606,"0,8683",392495,3345,4502701,5682282
Vancouver,2022,Hidrelétrica,Mineração,Tropical,23978,5,430324,"0,3779",823316,71,1336235,14097698
Sydney,2015,Eólica,Tecnologia,Tropical,17071,7,392411,"0,7453",341409,848,243378,15153010
Melbourne,2020,Carvão,Mineração,Mediterrâneo,21301,19,387350,"0,2266",960463,3102,744964,16463716
Cidade do México,2020,Eólica,Financeiro,Temperado,8941,7,496502,"0,3008",294837,4816,31492,14466337
Moscou,2023,Eólica,Financeiro,Mediterrâneo,36207,21,326874,"0,1866",882089,360,6805801,1835570
Nova York,2015,Eólica,Tecnologia,Tropical,18134,1,124862,"0,6962",12880,853,2415046,5779308
Los Angeles,2018,Gás Natural,Manufatura,Desértico,21276,1,35485,"0,7448",139990,4216,1856247,15977656
São Paulo,2018,Solar,Mineração,Temperado,6996,18,132438,"0,7299",180372,3828,16207,11572872
Rio de Janeiro,2019,Nuclear,Financeiro,Temperado,18781,16,166300,"0,8603",383074,2201,3986896,15062987
Berlim,2015,Gás Natural,Manufatura,Mediterrâneo,30701,2,84851,"0,1903",844946,454,6159345,7772302
Munique,2017,Eólica,Mineração,Frio,39874,19,55565,"0,7487",440762,366,2218434,8519274
Mumbai,2015,Carvão,Financeiro,Mediterrâneo,14501,17,473207,"0,2266",629219,1577,1568457,1886431
Nova Délhi,2023,Carvão,Financeiro,Temperado,21718,17,86975,"0,3718",609418,4347,1712366,15165121
Pequim,2017,Carvão,Turismo,Mediterrâneo,48631,21,310709,"0,5392",407232,275,2339535,6034852
Xangai,2018,Eólica,Mineração,Frio,40561,6,190811,"0,5788",575151,4945,2915661,3340929
Tóquio,2021,Solar,Manufatura,Frio,20019,21,100339,"0,0516",866770,707,2467106,3525780
Osaka,2022,Gás Natural,Financeiro,Desértico,16444,7,204271,"0,8257",836847,3209,2495143,9994314
Londres,2021,Gás Natural,Agronegócio,Frio,23883,11,13315,"0,5772",665047,1431,5873598,6394930
Paris,2021,Carvão,Tecnologia,Desértico,20058,17,471189,"0,6007",722940,166,565721,19646736
Toronto,2021,Carvão,Tecnologia,Temperado,48547,7,389878,"0,7798",36672,4066,3581401,12840391
Vancouver,2017,Eólica,Mineração,Mediterrâneo,40376,13,406317,"0,8779",581794,2932,686832,9538929
Sydney,2016,Hidrelétrica,Turismo,Tropical,12522,8,77927,"0,3168",534728,322,154225,5706093
Melbourne,2021,Nuclear,Tecnologia,Tropical,43785,2,307429,"0,5092",240840,42,4470744,7046477
Cidade do México,2021,Eólica,Turismo,Tropical,35525,21,110456,"0,5668",620309,159,3797133,19640576
Moscou,2017,Solar,Financeiro,Mediterrâneo,13422,6,143680,"0,3339",91852,2913,816864,18939704
Nova York,2018,Solar,Manufatura,Mediterrâneo,43343,11,143258,"0,7491",239990,89,3132573,4652878
Los Angeles,2016,Solar,Mineração,Frio,32096,8,160366,"0,8577",383889,3352,979654,12018671
São Paulo,2022,Nuclear,Financeiro,Tropical,30813,6,278895,"0,3884",743406,4357,7161656,1003518
Rio de Janeiro,2022,Solar,Manufatura,Desértico,48512,8,55250,"0,3567",737283,16,6271842,3111084
Berlim,2015,Gás Natural,Tecnologia,Mediterrâneo,9890,7,99526,"0,6422",53654,2617,1271171,16712726
Munique,2023,Eólica,Tecnologia,Frio,30099,19,485248,"0,1549",158469,329,4766078,11634189
Mumbai,2021,Carvão,Turismo,Temperado,43276,7,4512,"0,2192",887082,3676,9309125,17211977
Nova Délhi,2022,Gás Natural,Agronegócio,Tropical,49653,6,194665,"0,3083",970730,3701,5601696,8983001
Pequim,2017,Solar,Tecnologia,Mediterrâneo,34064,1,394718,"0,7197",908034,3679,5881386,16186298
Xangai,2023,Solar,Agronegócio,Tropical,15109,6,121106,"0,7092",543107,1479,2611149,16830359
Tóquio,2023,Hidrelétrica,Tecnologia,Mediterrâneo,22458,24,41957,"0,1362",196023,3389,705825,8259513
Osaka,2023,Carvão,Manufatura,Frio,16501,13,57074,"0,7947",890355,3214,3879571,3618349
Londres,2022,Gás Natural,Financeiro,Desértico,45744,23,265100,"0,1728",45166,1479,224888,13224649
Paris,2022,Hidrelétrica,Manufatura,Mediterrâneo,15462,19,490998,"0,2359",903668,2696,2317992,13156916
Toronto,2016,Carvão,Manufatura,Frio,25651,13,19590,"0,4966",510144,2433,4590125,1629027
Vancouver,2022,Eólica,Agronegócio,Desértico,1112,7,87931,"0,0466",998039,1312,1780,12180993
Sydney,2016,Hidrelétrica,Mineração,Frio,6670,19,68031,"0,3747",885242,3983,1234187,15833142
Melbourne,2019,Hidrelétrica,Agronegócio,Mediterrâneo,4108,21,17561,"0,4633",156779,2921,410714,3395551
Cidade do México,2017,Carvão,Financeiro,Frio,10443,12,257364,"0,8756",477391,1411,817113,12678049
Moscou,2018,Hidrelétrica,Manufatura,Frio,13154,17,25448,"0,2738",807817,1886,2461308,8893279
Nova York,2021,Eólica,Mineração,Desértico,39269,1,233086,"0,7776",662677,3058,4915869,19056340
Los Angeles,2019,Carvão,Financeiro,Tropical,29822,16,430268,"0,7557",48855,2673,6081749,16158185
São Paulo,2023,Solar,Manufatura,Frio,13103,23,189420,"0,5583",594992,24,1455694,11511934
Rio de Janeiro,2023,Eólica,Financeiro,Mediterrâneo,10027,23,409406,"0,0502",87238,815,2173649,15534186
Berlim,2016,Gás Natural,Financeiro,Frio,43184,22,335538,"0,7926",367150,1454,5822702,7118024
Munique,2017,Hidrelétrica,Turismo,Tropical,40808,9,236620,"0,5699",980566,268,7659288,625991
Mumbai,2015,Gás Natural,Financeiro,Tropical,23850,15,131603,"0,6342",524768,4348,163500,650672
Nova Délhi,2022,Carvão,Turismo,Mediterrâneo,34989,18,2464,"0,7272",233127,2168,7068258,3700254
Pequim,2016,Gás Natural,Tecnologia,Frio,11741,14,252039,"0,8994",794141,2447,778296,3734013
Xangai,2018,Nuclear,Agronegócio,Frio,39127,14,66879,"0,8891",294325,978,2286654,11855986
Tóquio,2021,Carvão,Turismo,Tropical,16282,8,144995,"0,3513",8716,3287,3118721,1753222
Osaka,2022,Gás Natural,Tecnologia,Mediterrâneo,45504,19,193222,"0,4922",824383,4507,3593805,8727464
Londres,2019,Eólica,Agronegócio,Tropical,26517,24,276647,"0,7284",500728,225,2235116,6730102
Paris,2016,Eólica,Financeiro,Tropical,10430,11,337964,"0,3515",469531,3819,1725835,13797576
Toronto,2015,Eólica,Financeiro,Tropical,20621,2,124599,"0,3993",538237,2856,2605086,2492773
Vancouver,2021,Gás Natural,Mineração,Mediterrâneo,44910,21,264119,"0,4308",348284,134,2331181,5267205
Sydney,2021,Solar,Mineração,Desértico,10152,7,9708,"0,0432",16066,62,1694222,18847361
Melbourne,2022,Nuclear,Turismo,Desértico,36441,8,436607,"0,0645",767484,36,8247278,4602178
Cidade do México,2017,Eólica,Tecnologia,Mediterrâneo,27353,19,278994,"0,4631",413602,4478,4956957,13956827
Moscou,2020,Hidrelétrica,Agronegócio,Temperado,22743,8,465346,"0,0722",105650,1695,5366019,2987894
Nova York,2018,Nuclear,Agronegócio,Desértico,10464,15,414473,"0,0651",321749,358,517818,10806380
Los Angeles,2015,Hidrelétrica,Agronegócio,Tropical,34024,16,338869,"0,2169",379047,2021,1418679,3481270
São Paulo,2016,Nuclear,Tecnologia,Temperado,26581,12,435536,"0,0675",425450,2773,2631266,1432592
Rio de Janeiro,2022,Eólica,Mineração,Desértico,14509,1,221047,"0,0395",346834,1398,3224587,12622513
Berlim,2015,Hidrelétrica,Mineração,Desértico,11097,14,43572,"0,5159",683027,3531,263027,6408916
Munique,2016,Solar,Financeiro,Mediterrâneo,23721,5,249449,"0,2944",254433,3391,4730551,19792853
Mumbai,2018,Carvão,Manufatura,Frio,33389,19,364296,"0,3888",18759,741,205755,2399044
Nova Délhi,2018,Solar,Tecnologia,Frio,5368,1,395214,"0,7819",298307,435,57449,14398694
Pequim,2016,Hidrelétrica,Tecnologia,Mediterrâneo,17145,19,344990,"0,6364",756471,4156,1828191,18022491
Xangai,2015,Carvão,Financeiro,Temperado,10516,13,114341,"0,0211",995325,4401,592529,6766418
Tóquio,2015,Carvão,Financeiro,Temperado,42693,6,168672,"0,3572",952863,2367,2161666,16399523
Osaka,2020,Carvão,Tecnologia,Temperado,30144,16,418019,"0,3802",553188,300,3496556,11499490
Londres,2022,Eólica,Turismo,Mediterrâneo,5989,9,360628,"0,6257",522633,2635,435587,17548649
Paris,2019,Carvão,Tecnologia,Tropical,24845,14,136577,"0,2592",647998,2118,3735557,1333615
Toronto,2018,Gás Natural,Turismo,Frio,25845,13,201699,"0,0511",398641,2404,3306676,14802662
Vancouver,2020,Eólica,Agronegócio,Desértico,33235,21,398761,"0,6838",335708,1599,6469743,9186028
Sydney,2017,Hidrelétrica,Turismo,Mediterrâneo,15828,14,483970,"0,3605",562269,3483,738745,16202660
Melbourne,2022,Carvão,Manufatura,Tropical,41756,15,495970,"0,8704",45723,665,5945869,610810
Cidade do México,2020,Gás Natural,Turismo,Temperado,30594,11,206416,"0,4189",268398,4431,2444761,5474976
Moscou,2019,Gás Natural,Turismo,Temperado,40644,9,89195,"0,6151",816377,4859,4391583,17895025
Nova York,2021,Hidrelétrica,Agronegócio,Frio,29463,7,388149,"0,2218",760778,146,6544631,10571037
Los Angeles,2022,Hidrelétrica,Tecnologia,Frio,3453,6,334454,"0,6532",723179,4927,489131,4645020
São Paulo,2018,Nuclear,Tecnologia,Tropical,34232,2,54732,"0,3526",503440,3486,3313712,16450002
Rio de Janeiro,2019,Carvão,Mineração,Mediterrâneo,31206,17,469227,"0,4639",365448,4528,1717968,10090249
Berlim,2018,Solar,Manufatura,Temperado,24995,23,397033,"0,0653",196905,248,3350775,13415547
Munique,2017,Nuclear,Agronegócio,Frio,41104,21,65964,"0,6089",541163,3874,7298649,15215456
Mumbai,2015,Gás Natural,Mineração,Desértico,2077,12,135715,"0,5011",129794,2233,344308,14380693
Nova Délhi,2023,Gás Natural,Agronegócio,Desértico,922,7,198965,"0,8886",466759,2701,122644,2842341
Pequim,2021,Eólica,Turismo,Tropical,39264,17,300073,"0,1965",212307,2397,4890796,2300013
Xangai,2023,Eólica,Financeiro,Tropical,32409,19,213277,"0,1629",127884,365,6035904,5151980
Tóquio,2018,Solar,Agronegócio,Frio,13814,9,458039,"0,1122",114781,1997,1886831,4455734
Osaka,2022,Eólica,Turismo,Desértico,18901,14,377527,"0,6931",335340,4406,4296758,15229120
Londres,2021,Eólica,Mineração,Tropical,31220,24,450134,"0,4476",824605,1785,2312944,1043358
Paris,2023,Solar,Agronegócio,Desértico,42025,24,26438,"0,5153",795501,865,5877989,13099320
Toronto,2019,Gás Natural,Agronegócio,Desértico,22802,6,390856,"0,8659",884861,421,2479334,9308572
Vancouver,2022,Nuclear,Manufatura,Frio,17872,17,94559,"0,2052",149569,4061,1235234,7691816
Sydney,2016,Carvão,Mineração,Temperado,45639,6,73045,"0,5021",179277,1972,8476886,5971989
Melbourne,2016,Eólica,Turismo,Frio,29327,7,8900,"0,2765",834212,4001,2229403,16149219
Cidade do México,2023,Hidrelétrica,Turismo,Frio,46801,2,483725,"0,6774",302919,3223,5746972,4440499
Moscou,2017,Nuclear,Manufatura,Mediterrâneo,10604,7,144831,"0,2204",789264,1707,489966,18769303
Nova York,2019,Eólica,Financeiro,Tropical,7262,14,237804,"0,2362",539288,357,1442577,8041691
Los Angeles,2018,Eólica,Mineração,Desértico,3306,19,441493,"0,2037",304922,3731,609562,13295428
São Paulo,2020,Gás Natural,Manufatura,Temperado,32325,14,494285,"0,1575",151809,2674,3380681,17421330
Rio de Janeiro,2018,Gás Natural,Manufatura,Tropical,37670,5,17845,"0,4366",879222,4588,1389523,18003874
Berlim,2020,Gás Natural,Agronegócio,Temperado,31029,13,118153,"0,3224",177117,758,1522142,9836888
Munique,2021,Eólica,Manufatura,Mediterrâneo,45964,19,287102,"0,4837",451605,3318,10406672,11796153
Mumbai,2018,Solar,Financeiro,Temperado,12274,18,136943,"0,7893",851025,2339,2081636,11364779
Nova Délhi,2023,Eólica,Mineração,Temperado,30734,8,389030,"0,7895",888938,2806,1995143,1208114
Pequim,2020,Gás Natural,Mineração,Desértico,17126,21,187231,"0,8861",438914,549,4226537,2938331
Xangai,2018,Gás Natural,Financeiro,Tropical,771,21,404017,"0,2955",735395,4449,100956,11138114
Tóquio,2016,Eólica,Mineração,Tropical,9167,23,246067,"0,2747",688007,408,1690824,6441657
Osaka,2016,Eólica,Turismo,Mediterrâneo,8419,24,260827,"0,3708",189785,1819,1801648,5311714
Londres,2023,Nuclear,Tecnologia,Frio,22157,15,277161,"0,3076",383347,3375,2435687,11444546
Paris,2020,Carvão,Turismo,Tropical,7062,24,326891,"0,1916",860508,376,505213,5667069
Toronto,2019,Solar,Mineração,Mediterrâneo,34204,6,444441,"0,7917",721665,1813,6863124,12818787
Vancouver,2016,Eólica,Turismo,Temperado,26067,24,321264,"0,8454",800193,4521,220011,18917255
Sydney,2017,Gás Natural,Agronegócio,Tropical,41449,16,99520,"0,4999",218891,2153,9649219,12587263
